가게명,별점,주소,카테고리,위도,경도
풀덤 충장점,4.47,광주 동구 금남로 248 천하빌딩,만화방,35.1527778084776,126.913749594914
풀덤상무점,4.47,광주 서구 운천로 253 3층,만화방,35.154968126391694,126.854409490311
풀덤 운암점,4.51,광주 북구 대자실로 30 엘투빌딩 2층,만화방,35.1795668051488,126.87402841279899
벌툰전남대점,4.41,광주 북구 면앙로6번길 76,만화방,35.1769596825217,126.91330909197399
놀숲 광주첨단점,4.67,광주 광산구 임방울대로826번길 47 시너지빌딩 3층,만화방,35.2153064772063,126.84920631205
풀덤 일곡점,4.58,광주 북구 설죽로 511 국민은행 2층,만화방,35.2046792983022,126.897590151679
풀덤 봉선점,4.41,광주 남구 봉선중앙로 51 2층 풀덤,만화방,35.1254035168964,126.911122145103
북앤빅뱅충장로점,4.32,광주 동구 충장로 72,만화방,35.1486983199757,126.914868110868
툰박스,0.0,광주 광산구 용아로379번길 39 3층,만화방,35.1764904360993,126.802176566005
풀덤 첨단점,4.52,광주 광산구 첨단중앙로 104,만화방,35.2146214730841,126.843331859624
카툰스토리,4.57,광주 남구 서문대로 689-6,만화방,35.1210231115574,126.89823031985901
더툰만화카페,0.0,광주 서구 무진대로 904,만화방,35.1605756425809,126.879873116288
카툰스토리 만화카페,4.52,광주 광산구 장신로 76 5층,만화방,35.1904857623632,126.818341598506
놀숲 광주수완점,4.45,광주 광산구 임방울대로332번길 9-4,만화방,35.1900245538804,126.82465005085301
놀숲 광주점,4.5,광주 남구 봉선2로 36,만화방,35.1254129726889,126.910376101186
봄뜰,4.17,광주 서구 회재로 859,만화방,35.1205461264762,126.858770727766
만화나라,0.0,광주 동구 중앙로160번길 6,만화방,35.1479119657787,126.913711600996
온탑,0.0,광주 광산구 신창로 80,만화방,35.192324861173,126.83734782891099
떼굴떼굴,0.0,광주 광산구 임방울대로 356,만화방,35.191664034114,126.824406835672
북툰 광주신창점,0.0,광주 광산구 신창로162번길 3,만화방,35.1987866644664,126.841358690487
넘버원만화방,0.0,광주 서구 죽봉대로119번길 1,만화방,35.164129715442,126.883301379592
만화카페봄뜰,0.0,광주 서구 회재로 859,만화방,35.1205461264762,126.858770727766
어등만화카페,0.0,광주 광산구 무진대로231번길 30-8,만화방,35.1633117031194,126.806585332691
오리지날만화세상,0.0,광주 광산구 신가번영로34번길 6,만화방,35.1811778546458,126.82627916866998
만화뱅크,0.0,광주 북구 북문대로 96,만화방,35.1786579930266,126.876857806499
카툰만화방,0.0,광주 북구 서양로 21-1,만화방,35.1710706673008,126.90398877419399
만화박사,0.0,광주 광산구 사암로215번길 51,만화방,35.163679764446805,126.80548256035499
북킹만화방,0.0,광주 북구 서방로 1-8,만화방,35.1740010327688,126.913385343635
판타지만화,0.0,광주 동구 서암대로 328,만화방,35.164556466685,126.91932126334
풀덤 수완점,4.26,광주 광산구 수완로49번길 26 만화카페 풀덤,북카페,35.189745477144704,126.827272166218
풀덤 전대점,4.51,광주 북구 호동로43번길 60,북카페,35.1761129306312,126.91353712346
북앤빅뱅 광주점,0.0,광주 동구 필문대로 271,북카페,35.1470371758307,126.92803840373301
콩툰 광주 첨단2지구점,4.45,광주 북구 첨단연신로91번길 30,북카페,35.2064958152231,126.861228861001
