가게명,별점,주소,카테고리,위도,경도
클럽300볼링센터,4.44,광주 광산구 풍영로 83,볼링장,35.1794659348203,126.810889110833
클럽300볼링센터 첨단점,4.35,광주 광산구 월계로 217 쌍암동 첨단프라자 지하1층,볼링장,35.213683920136496,126.849322107296
스플릿볼링장,4.39,광주 동구 백서로125번길 35,볼링장,35.1446315754252,126.917235084929
쿵스게임랜드  광주점,4.42,광주 동구 충장로 90 갤러리존 지하,볼링장,35.147761465921,126.916582579709
피터팬볼링장,3.3,광주 동구 충장로 102-12,볼링장,35.1470554517517,126.91740426414302
평화볼링센터,0.0,광주 북구 우치로27번길 33,볼링장,35.1703106043407,126.90919962357799
광주탑볼링장,4.49,광주 광산구 임방울대로 507,볼링장,35.204930502121,126.81944330238701
ABC볼링센터,4.44,광주 서구 상무대로 908,볼링장,35.1505705084853,126.861190535889
클럽300볼링센터 상무점,4.18,광주 서구 시청로 67 프리미엄아울렛3층,볼링장,35.154292389151394,126.85100856915899
JK볼링장,4.29,"광주 남구 군분로119번길 6-3 1층,2층",볼링장,35.1430990555777,126.88852546958599
킹핀,0.0,광주 서구 상무연하로 50 에코노블빌딩,볼링장,35.1527238875552,126.850532271385
수완볼링장,4.19,광주 광산구 장신로 81,볼링장,35.191930678569,126.818252518716
제일볼링센터,4.12,광주 북구 서방로 83,볼링장,35.1718713620011,126.922236530331
K1볼링운암점,4.44,광주 북구 서강로 104-3,볼링장,35.1803335461787,126.87338257504601
더원볼링장,4.28,광주 광산구 송정로29번길 38,볼링장,35.1368855687192,126.79630354093399
훼미리볼링센타,4.42,광주 광산구 우산로 55-10,볼링장,35.158322306771495,126.80708127178998
미즈볼링장,0.0,광주 동구 중앙로 239 미즈프라자,볼링장,35.1536745562712,126.91921929501899
뉴텐핀볼링센터,4.67,광주 북구 설죽로320번길 17,볼링장,35.18811505007329,126.900973411322
지산볼링장,4.4,광주 동구 필문대로273번길 29,볼링장,35.145821290258006,126.93075582438401
퍼니스볼링장,4.34,광주 서구 천변좌하로 192,볼링장,35.155859945467604,126.83781444731501
핀액션볼링라운지,4.28,광주 북구 문산로 43-2 지하2층,볼링장,35.186100178599204,126.923087263147
첨단스포츠센타 볼링장,4.55,광주 광산구 첨단중앙로170번길 92,볼링장,35.220449581290204,126.84705176387699
저스트볼,4.72,광주 북구 설죽로 333 4층,볼링장,35.1890876718232,126.89864861136299
K1볼링장,4.72,광주 북구 우치로257번길 17 1층 K1볼링장,볼링장,35.187687783537,126.903285761811
레드핀 볼링센터,4.29,광주 서구 마륵로 46,볼링장,35.1438513739202,126.83712477271999
미금볼링장,0.0,광주 남구 봉선중앙로47번길 10,볼링장,35.125178616110304,126.91049561324301
하남볼링센타,4.23,광주 광산구 산정공원로 101,볼링장,35.1766720054573,126.806270132378
볼러스레인,4.41,광주 북구 상촌로 8,볼링장,35.211633303654,126.875629814441
금호볼링장,4.31,광주 서구 운천로 46 금호볼링장,볼링장,35.1368439966775,126.859355078774
클럽300볼링장 진월점,0.0,광주 남구 서문대로 706,볼링장,35.122653851792,126.898973751466
K1볼링장,4.51,광주 남구 봉선동 156 지하1층,볼링장,35.1262616916916,126.91525526958
락투데이 볼링장,4.45,광주 북구 문화소통로 170,볼링장,35.1825084538785,126.912088621192
웰컴볼링,4.0,광주 광산구 풍영철길로 15 콜럼버스월드,볼링장,35.1628952489774,126.81165980029199
시티스포츠센터 볼링장,4.52,광주 서구 죽봉대로 52 교원공제회관,볼링장,35.158324821946,126.88362159400101
함이볼링센타,0.0,광주 북구 문화소통로 170 하미스포렉스,볼링장,35.1825084538785,126.912088621192
현대볼링장,0.0,광주 동구 남문로 686,볼링장,35.132219257835395,126.92946902500499
에이비씨볼링센터,0.0,광주 서구 상무대로 908,볼링장,35.1505705084853,126.861190535889
씨티볼링장,0.0,광주 서구 죽봉대로 52,볼링장,35.158324821946,126.88362159400101
광주대볼링장,4.62,광주 남구 효덕로 291 금호타운상가 4층,볼링장,35.1101126636302,126.89573636528799
케이원킹핀볼링,4.22,광주 서구 상무연하로 50,볼링장,35.1527238875552,126.850532271385
미즈레포츠센터,0.0,광주 동구 중앙로 239,볼링장,35.1536745562712,126.91921929501899
