가게명,별점,주소,카테고리,위도,경도
레전드히어로즈 광주상무점,0.0,광주 서구 운천로 247 스타타워 3층,스크린야구장,35.1546181251865,126.854406711581
리얼야구존 충장점,0.0,광주 동구 백서로125번길 35,스크린야구장,35.1446315754252,126.917235084929
레전드야구존 수완점,4.4,광주 광산구 수완로73번길 7,스크린야구장,35.191411820241704,126.828103114708
다함께야구왕 상무점,3.81,광주 서구 상무연하로 48 죽암빌딩 6층,스크린야구장,35.1524924222907,126.85053543835899
리얼야구존 광주전대점,0.0,광주 북구 우치로100번길 24,스크린야구장,35.1762737193435,126.913644756311
레전드스크린야구 용봉점,4.68,광주 북구 용봉택지로 93,스크린야구장,35.1786138866999,126.896689156007
리얼야구존 광주수완점,0.0,광주 광산구 장신로 144,스크린야구장,35.1904184017367,126.825869170416
리얼야구존 광주우산점,0.0,광주 광산구 풍영철길로 20-6,스크린야구장,35.162802454840495,126.81285256595301
레전드야구존 첨단점,4.7,광주 광산구 첨단중앙로106번길 65-6,스크린야구장,35.2153245276161,126.84706917573
리얼야구존 상무지구점,0.0,광주 서구 상무연하로 58 6층,스크린야구장,35.1532728775313,126.85050942751002
레전드야구존 상무점,3.94,광주 서구 운천로 247 2층 스타타워,스크린야구장,35.1546181251865,126.854406711581
스트라이크존 광주 용봉구장,4.49,광주 북구 용봉택지로 53 2층,스크린야구장,35.178832353866895,126.892419216992
스트라이크존 광주 봉선구장,0.0,광주 남구 봉선중앙로 51,스크린야구장,35.1254035168964,126.911122145103
리얼야구존 풍암동점,0.0,광주 서구 회재로 1054 유수빌딩 5층,스크린야구장,35.1270179229532,126.87839147805
레전드스크린야구 금호점,0.0,광주 서구 운천로 15 2층,스크린야구장,35.1339948081943,126.858905289408
레전드야구존 광주충장로점,0.0,광주 동구 중앙로160번길 13 지하2층,스크린야구장,35.147693038956106,126.91462180219801
레전드야구존 신창점,0.0,광주 광산구 장신로 261,스크린야구장,35.1909533362174,126.838744457536
다함께야구왕 광주첨단점,0.0,광주 광산구 임방울대로800번길 27 4층,스크린야구장,35.2160732278835,126.846245784413
다함께야구왕 광주용봉점,0.0,광주 북구 저불로 36 2층,스크린야구장,35.1775704184447,126.895465870883
메이저스크린야구존,0.0,광주 광산구 쌍암동,스크린야구장,35.218939921165294,126.84820590171199
스크린야구 용봉점,0.0,광주 북구 용봉택지로 67 스크린야구 3층,스크린야구장,35.178733782861,126.893789321523
중앙스크린골프존,0.0,광주 북구 설죽로 325,스크린골프장,35.1886452447633,126.898706034931
톡스크린골프&당구클럽,0.0,광주 북구 임방울대로 1053 약산흑염소 3층,스크린골프장,35.212249451381204,126.87258050318898
골프존파크 용두신비로점,0.0,광주 북구 하서로523번길 115,스크린골프장,35.224641171322396,126.867750729869
골프존파크 오션스크린점,0.0,광주 광산구 월계로 203,스크린골프장,35.2138557974932,126.847800649671
싱글로드스크린골프연습장,0.0,광주 서구 회재로 821 싱크로드 스크린골프,스크린골프장,35.1183163258026,126.85578126783999
부경스크린골프,0.0,광주 광산구 하남대로 92,스크린골프장,35.1799637067992,126.80366549372
나이스실내골프연습장,0.0,광주 북구 매곡로 36-1,스크린골프장,35.1882837410245,126.894517355424
J&J골프존,0.0,광주 광산구 용아로 385,스크린골프장,35.1777201192257,126.80420705833099
장흥스크린,0.0,광주 북구 첨단연신로29번길 9,스크린골프장,35.2002241750704,126.862545185344
비젼골프존,0.0,광주 동구 갈마로 56,스크린골프장,35.1615534968335,126.936597387368
모아스크린SG골프아카데미,0.0,광주 서구 금화로 240,스크린골프장,35.1336460778946,126.874829928048
VIP스크린실내골프,0.0,광주 북구 동문대로248번길 39 각화동종합상가(주),스크린골프장,35.1834350339383,126.937115947674
두암골프존,4.35,광주 북구 갈마로 55,스크린골프장,35.162025530290606,126.936581435145
OK 스크린 골프존,4.61,광주 북구 임방울대로 1034,스크린골프장,35.21223124528,126.87020562278
골프존파크 운암 로데오점,0.0,광주 북구 북문대로 117,스크린골프장,35.1796737888301,126.874542474338
한듬스크린골프,0.0,광주 광산구 왕버들로 217,스크린골프장,35.1985646642434,126.833899138003
노블스크린골프,0.0,광주 북구 하남대로 697,스크린골프장,35.1721072758655,126.86893775839899
US골프아카데미,0.0,광주 광산구 첨단중앙로152번길 20,스크린골프장,35.2188246537942,126.84333586522101
필드로스크린골프연습장,0.0,광주 광산구 풍영로 83 우석빌딩,스크린골프장,35.1794659348203,126.810889110833
첨단 케이골프스크린,0.0,광주 광산구 앰코로 35 폭스존 3층 309호,스크린골프장,35.2215326011543,126.85239146838
비엠스크린골프,0.0,광주 남구 서문대로 700 광동빌딩,스크린골프장,35.121822013432606,126.89901120091001
티업비전 영스크린골프,0.0,광주 서구 시청로16번길 9 3층,스크린골프장,35.1499676464011,126.85276313328
굿모닝티업스크린,0.0,광주 북구 북문대로 184,스크린골프장,35.1848562930261,126.871005290896
프라임골프존,0.0,광주 북구 첨단연신로91번길 10,스크린골프장,35.2065518542561,126.863266801363
티업사랑스크린골프,0.0,광주 광산구 임방울대로 611-5,스크린골프장,35.21223011831879,126.826929449636
골프존파크 수완스크린점,0.0,광주 광산구 임방울대로 330,스크린골프장,35.189353729230206,126.82406506852301
캘러웨이스크린골프연습장,0.0,광주 광산구 첨단강변로99번길 34,스크린골프장,35.2157815002961,126.850816232647
상무스크린골프,0.0,광주 서구 상무대로 752,스크린골프장,35.14514070675,126.846039119735
첨단스크린골프연습장,0.0,광주 북구 일곡마을로 183,스크린골프장,35.2105368789076,126.894090684793
SG백양스크린골프,0.0,광주 광산구 월계로 217,스크린골프장,35.213683920136496,126.849322107296
퍼스트스크린골프,0.0,광주 서구 상무공원로 51,스크린골프장,35.148929596338604,126.842756395819
휴먼스크린골프아카데미,0.0,광주 서구 상무중앙로 103 휴먼빌딩,스크린골프장,35.1563516093891,126.847797524405
에스지골프하남점,0.0,광주 광산구 용아로379번길 40,스크린골프장,35.1770142900855,126.802168161219
펀앤골프 수완수영점,0.0,광주 광산구 장신로 85 수영빌딩 7층,스크린골프장,35.19118695852,126.81944878843099
황금알스크린골프장,0.0,광주 광산구 장신로 261 드림프라자,스크린골프장,35.1909533362174,126.838744457536
소호스크린골프,0.0,광주 서구 풍암1로21번길 9-22,스크린골프장,35.1266828088092,126.879125294505
상무스크린골프,0.0,광주 서구 상무누리로 90 상무신도심골프연습장,스크린골프장,35.1507091365622,126.83937788473
방수원골프아카데미,0.0,광주 북구 서강로54번길 22 코아빌딩,스크린골프장,35.1759590875069,126.87338562571101
썬스크린,0.0,광주 북구 설죽로404번길 11,스크린골프장,35.19535702837071,126.90058942076999
미르골프존,0.0,광주 광산구 첨단중앙로152번길 20,스크린골프장,35.2188246537942,126.84333586522101
기준스크린골프장,0.0,광주 광산구 북문대로 595,스크린골프장,35.2053609617909,126.835492927822
