가게명,별점,주소,카테고리,위도,경도
수완PC방,0.0,광주 광산구 장신로 81 빛고을 빌딩 1층 수완PC방,PC방,35.191930678569,126.818252518716
아이리스 PC POP 치평점,4.31,광주 서구 치평로 20 나동 4층,PC방,35.149115222786996,126.84765329967699
블루오션pc방,0.0,광주 서구 상무대로 981,PC방,35.151851555172804,126.869242856999
PCGROUND,3.98,광주 서구 무진대로 904 2층,PC방,35.1605756425809,126.879873116288
첨단 미스터K PC방,0.0,광주 광산구 첨단중앙로170번길 64 2층 미스터 K pc방,PC방,35.220456087936796,126.84536221597999
그레이드pc클럽,0.0,광주 동구 중앙로160번길 35,PC방,35.1462117168075,126.916395629928
아이리스PC카페 상무점,4.49,광주 서구 상무중앙로 103 휴먼빌딩,PC방,35.1563516093891,126.847797524405
아이리스,4.64,광주 광산구 신창로 121,PC방,35.1961821828052,126.838072874474
아이리스PC POP 송정점,4.36,광주 광산구 상무대로 224 지산빌딩 3층,PC방,35.1389421057692,126.79278973061899
아이리스 PC 봉선점,4.76,광주 남구 봉선로 90,PC방,35.1255327430709,126.905946937396
아이템pc카페,0.0,광주 남구 봉선2로 41,PC방,35.125889979621896,126.910871693904
아이리스PC방,0.0,광주 서구 월드컵4강로42번길 62,PC방,35.1419173905441,126.88253522309601
이스퀘어PC,0.0,광주 서구 상무대로 1083 3층,PC방,35.1529197129573,126.880275071854
아이센스리그PC 광주용봉점,0.0,광주 북구 용봉택지로 42 2층 아이센스리그PC방 광주용봉점,PC방,35.1784153940059,126.890915972833
라이또PC방 광주충장점,4.43,광주 동구 충장로안길 7-1 3층,PC방,35.1484963691344,126.91480269558998
아이리스 pc pop,4.59,광주 광산구 용아로379번길 54 2층 아이리스 pc pop,PC방,35.1768712267716,126.801275998495
아이리스PC카페 장덕점,4.41,광주 광산구 장신로50번길 4,PC방,35.1905613002876,126.81542354350901
조이온PC,0.0,광주 광산구 송도로 173,PC방,35.130328864548396,126.793416422853
큐브PCcafe,0.0,광주 광산구 광산로 13-1,PC방,35.1382579597976,126.793468485115
제너스PC 광주상무점,0.0,광주 서구 치평로 116 지하1층,PC방,35.157715638965996,126.847656474155
아이센스리그PC 광주금호점,0.0,광주 서구 운천로 15 3층,PC방,35.1339948081943,126.858905289408
