가게명,별점,주소,카테고리,위도,경도
캐쥬얼식당,4.38,광주 남구 제중로46번길 10,한식,35.1386211225234,126.914777982131
무드장,4.36,광주 남구 제중로46번길 3-8,아시아음식,35.1391297558474,126.91451421161
양림버거,4.44,광주 남구 백서로 93-1,햄버거,35.140726122245,126.916139200615
까스까스돈까스,4.45,광주 남구 양림로 77 까스 까스 돈까스,돈가스,35.1380853335459,126.917221191818
한옥식당,4.34,광주 남구 백서로 87-2,한식,35.1403121339375,126.915114080937
행복한담벼락,4.53,광주 동구 서석로85번길 2,퓨전음식,35.1496275495249,126.920601341707
밥제작소,4.52,광주 남구 정율성로 22 패밀리 마트,한식,35.137832094283,126.91728509011
오복미역 상무점,4.42,광주 서구 상무시민로 95-2 1층,"백반,가정식",35.1554338802458,126.849557445173
인촌,4.33,광주 동구 구성로194번길 20-1,한식,35.1517420921391,126.915593984445
진곡구내식당,4.51,광주 광산구 진곡산단중앙로 226,"백반,가정식",35.2085083417375,126.781643659134
옥이네한상,4.33,광주 서구 시청서편로4번길 8-1,"백반,가정식",35.1591068438751,126.846480369667
데이지,4.28,광주 남구 용대로53번길 4,"백반,가정식",35.1212619125249,126.917477152666
미송꽃게장,4.39,광주 북구 서하로 327-1,"백반,가정식",35.1870674259207,126.916425391074
호식당,,광주 남구 백서로 82-1,일식당,35.1398694340508,126.915701158306
현완단겸상추튀김 양림점,4.28,광주 남구 백서로 89 1층 현완단겸상추튀김,종합분식,35.1404965330786,126.915731785157
오복미역 수완점,4.16,광주 광산구 장신로 76,"백반,가정식",35.1904857623632,126.818341598506
다복천백반,4.39,광주 서구 천변좌하로 522,"백반,가정식",35.1667053257072,126.868332942642
노릇노릇식당,4.54,광주 북구 호동로 17,"백반,가정식",35.1752089814876,126.914584152175
정든밥상,4.72,광주 서구 풍암신흥로11번길 38-28 1층,"백반,가정식",35.1225849986122,126.862839860632
동명동 잇차,,광주 동구 동계천로 151-17,"백반,가정식",35.1495841905104,126.925712457339
가득 밥먹는집,0.0,광주 동구 예술길 31-16,한식,35.1496159885135,126.920153929443
송해반점,4.21,광주 북구 동문대로110번길 4,중식당,35.1728189578663,126.925533802549
장흥밥집,,광주 남구 용대로119번길 12,"백반,가정식",35.1268887610448,126.91706543002
오붓한시간,4.7,광주 광산구 장신로19번길 12 1층 오붓한시간,"백반,가정식",35.1919774956627,126.812599137166
