단어 데이터,단어 횟수
카페,5913
커피,1876
곳,1656
것,1545
수,1450
분위기,1114
층,1076
맛,1007
주문,905
사진,806
더,687
음료,630
정말,608
공간,604
메뉴,595
저,571
느낌,553
때,532
자리,529
디저트,502
서비스,442
이,428
빵,398
방문,386
진짜,377
테이블,372
생각,367
시간,362
제,360
사람,349
케이크,338
여기,326
거,318
사장,311
브런치,308
날,307
가격,282
하나,275
아이,273
친구,271
라떼,257
바로,254
우리,238
이용,238
뷰,229
룸서비스,225
집,225
분,224
저희,224
티,221
또,218
좀,212
차,205
인테리어,204
아메리카노,196
호텔,191
안,185
바다,177
치즈,177
맛집,174
와인,171
양재천,170
점,169
공부,156
정도,156
등,146
매장,146
크림,146
원두,143
루프,139
건물,138
종류,136
때문,134
아주,134
추천,133
여행,132
딸기,131
향,130
테라스,127
마음,126
스터디,125
직접,124
탑,124
요,123
제주,122
기분,122
주차,121
존,119
조금,119
듯,119
오픈,118
전망,116
베이커리,115
케익,114
요즘,110
쿠키,110
나,110
쪽,110
위치,107
보고,106
스콘,105
파스타,105
꼭,104
위,103
다른,102
와플,100
전,97
야외,96
예약,96
내,95
사용,95
마카롱,94
부산,94
안경,93
손님,92
비,92
이드,91
번,90
룸,90
초코,90
음식,89
그냥,88
피자,88
그,88
한번,88
식사,87
해,87
밀크,87
모습,87
역시,87
옥,87
아이스크림,87
샐러드,86
말차,85
게,84
오늘,84
저녁,80
앞,78
포토,78
맥주,78
달달,78
입구,78
남양주,76
연남동,75
뭔가,75
애견,74
정원,74
눈,74
거리,74
서울,74
아이스,72
실내,71
사실,71
제공,70
개,70
데이트,69
길,69
주차장,68
가지,68
잔,68
근처,67
풍경,67
주말,67
판매,67
제주도,67
말,66
꽃,66
중,66
인천,65
서면,65
빙수,65
소스,65
구경,65
엄마,64
선택,64
다음,64
가장,63
바닐라,63
김포,63
좌석,63
파운드,63
소품,63
구매,60
식당,59
옆,59
완전,58
꽤,58
뭐,58
당근,58
달,57
참고,57
먹기,57
샌드위치,57
운영,57
화장실,56
광주,56
바,56
과일,55
촬영,55
문,55
반려견,54
